GO	genes
cellular response to chemical stimulus	l(2)gl;lwr;dock;GluRIIC;aop;CG2964;Mad;Hydr2;Thor;for;GluRIIA;GluRIIB;rau;dsf;smt3;mts;Sirup;Pp2A-29B;emb;CG9314;piwi;PICK1;Sos;rk;Cul3;Sytalpha;CG10211;l(2)37Cc;scw;Hr38;Cul2;Gr43a;Cul1;RagC-D;Acsl;babo;CG10459;TER94;Sod3;ths;Cyp6g2;Cyp6t3;Cam;Dh44-R2;Iswi;Drl-2;Dh31-R;Hsc70-5;Dh44-R1;Cyp6a8;Hr51;Lis-1;GstS1;cnk;MESR4;grh;Ote;CG10924;CG15116;Toll-7;Lrt;cv-2;St3;Sesn;MAN1;mAChR-A;Letm1;Nurf-38;Pdk1;E(bx);MED14;Ptp61F;Pxn;Mrtf;PHGPx;Chd64;ago;DOR;Src64B;Ir64a;Lkr;sgl;BI-1;CG7182;Idh;SH3PX1;Ilp1;Ilp5;RasGAP1;Atg1;btl;Sytbeta;Pdi;CG6888;Toll-6;Ilp8;CG12229;Crtc;AstC-R2;AstC-R1;ftz-f1;Ugt;Rab8;CG14184;Ir76b;Toll-9;cmpy;Eip78C;pzg;CapaR;CG11249;Trxr-2;srl;Hph;CG11999;PEK;mAChR-B;puc;tgo;Ras85D;Dh44;Fmr1;Blm;Hsp70Bb;Hsc70-2;rdx;Dop1R1;stumps;CG7362;Sdr;GlyS;Hsc70-4;FK506-bp1;glob1;pnr;Akt1;Fer2;ss;CG14891;Pxd;CG4009;Pxt;Lgr1;TyrRII;TyrR;htl;Ire1;Ir92a;Stat92E;Pi3K92E;GluRIIE;GluRIID;TotZ;TotX;slmb;Snmp1;ETHR;SIFaR;PyK;CG7069;cd;Nup98-96;Hsp68;Tsc1;tld;CG42331;Nup358;Lgr3;CG5948;gro;wdb;Dop1R2;sima;CG15537;tll;CycG;kek6;Syt7;mav;fuss;G9a;tw;Vps26;usp;Sik2;csw;CG2918;VhaAC39-1;Tom40;slpr;Trxr-1;Ir8a;Dsor1;Pa1;Hsc70-3;Upf1;tsg;hep;HDAC4;Jafrac1;Syt12;Set2;Neto;Clic;hiw;CG33177;ppk28;CG15814;CG15056;phm;Ulp1;et;dome;Cdc42;Rab10;Cyp6t1
syncytium formation	dock;CG9961;Thor;SCAR;Pax;Gapdh1;sns;eve;mspo;hbs;Arf51F;Rho1;Vrp1;zip;Rac1;rols;Hem;Akt1;Pak3;lbl;lbe;PyK;lmd;nau;mbc;WASp;Pglym78;Tpi;Crk;kirre;Rok;sing;Vav
cell-cell fusion	dock;CG9961;Thor;SCAR;Pax;Gapdh1;sns;eve;mspo;hbs;Arf51F;Rho1;Vrp1;zip;Rac1;rols;Hem;Akt1;Pak3;lbl;lbe;PyK;lmd;nau;mbc;WASp;Pglym78;Tpi;Crk;kirre;Rok;sing;Vav
oocyte differentiation	l(2)gl;capt;chic;milt;piwi;Nup154;Ge-1;Rab6;BicD;gammaTub37C;spir;del;gus;gcl;dap;TER94;psq;SmD3;muskelin;bic;AGO1;aPKC;Dg;Lis-1;krimp;Khc;MESR4;stau;hts;par-1;TBCB;exu;sktl;shg;cpa;mago;egl;klar;Hsp83;armi;enc;Dhc64C;nudE;polo;chb;mael;CkIIalpha;lost;jagn;osk;rump;Ras85D;Fmr1;glo;sqd;jvl;Tm1;Atx2;msps;14-3-3epsilon;nos;Dl;mira;cic;Rab11;slmb;Syx1A;tld;asp;scrib;spz;btz;Gprk2;heph;egh;N;swa;Moe;CkIIbeta;wisp;lic;Grip128;Rok;Mer
body morphogenesis	p120ctn;alpha-Cat;TwdlG;Dfd;TwdlW;TwdlM;TwdlP;TwdlL;TwdlK;TwdlJ;TwdlN;TwdlR;TwdlS;Tb;TwdlQ;TwdlX;TwdlY;TwdlZ;Twdlalpha
inorganic ion transmembrane transport	CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;nompC;CG31644;Ucp4C;Ucp4B;ppk7;ppk14;Sec61alpha;nrv1;Shawl;ppk16;ppk11;ppk10;Vha16-5;ZnT33D;Pkd2;CG5421;Vha68-2;Vha68-3;ppk;CG33310;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;Catsup;ppk13;Nhe2;ppk25;Dic3;CG1688;CG44296;KCNQ;CG12344;Tret1-2;Vha36-2;stj;NaPi-T;CG8249;Nach;Vha16-4;CG5002;Elk;Rgk2;Vha100-3;Rgk1;ppk6;CG34396;Rgk3;ppk9;ppk12;CG45063;blw;ppk3;levy;sei;ppk29;Letm1;Mid1;NaCP60E;pyx;CG9194;Shab;ZnT63C;tipE;VhaM9.7-a;ppk26;foi;TrpA1;Vha16-2;CG10960;CG17300;nan;Zip71B;Best4;Best3;Nedd4;Grd;Prestin;CG6893;Dic4;brv1;Shal;Ir76b;ZnT77C;ppk5;Wnk;CG1090;Orco;CG1208;Vha14-2;CG14606;CG14605;wtrw;CG31100;CG16736;Task7;CG9444;HisCl1;ClC-a;Vha55;Task6;VhaPPA1-2;CG6125;CG5404;VhaM9.7-d;Vha100-2;CG10864;CG11703;ort;CG3822;Atpalpha;CG4704;VhaAC39-2;Irk2;ppk22;CG14540;ppk15;ppk31;mfrn;ppk20;ppk30;ppk19;Zip99C;CG7912;Fer2LCH;Ctr1C;ppk24;CG3638;CG12773;Vha36-3;brv3;ppk8;yin;VhaAC39-1;CG42594;CG42265;Ca-alpha1T;CG42340;iav;rtv;CG43155;cac;Fer3HCH;Clic;eag;Lcch3;ppk28;ppk23;tty;CG12061;CG17167
protein polymerization	chinmo;cpb;Drp1;Lam;chic;Rack1;SCAR;Arpc1;CG18109;gammaTub37C;spir;Arpc2;wash;Opa1;Khc;hts;cpa;Vrp1;CG3085;Ssrp;tsr;gek;mwh;msd1;ens;Cip4;CG32232;CG7716;nwk;nudE;flr;polo;chb;Jupiter;Atx2;msps;gish;RhoGAP92B;Nup98-96;asp;ssh;Mtl;WASp;dco;DAAM;PsGEF;spoon;nod;Grip128;Grip84;Cdc42
negative regulation of cell communication	l(2)gl;ebi;lwr;ds;dock;CG4629;cpb;Su(dx);aop;insv;Hrs;CG3277;ed;Ddr;Nlg2;uif;RapGAP1;mts;Pp2A-29B;Akap200;d;raw;numb;Ror;rho-5;piwi;kek2;crol;bun;kek4;NimA;Cul3;CG7094;swm;Ret;Cul2;Src42A;Bap170;pk;cos;Cul1;Hey;lig;Acsl;gcl;Su(var)2-10;CG10459;TER94;stan;CG12344;otk;Cam;Sin3A;Drl-2;Nrk;tum;Opa1;phyl;Mlf;casp;Rho1;spin;Alk;MESR4;par-1;hpo;cpa;PTP-ER;apt;Sesn;ken;MAN1;rno;E(bx);Ptp61F;msn;pav;CG10289;tow;nmo;BI-1;Cbl;Gug;RasGAP1;scyl;chrb;Atg1;Notum;Nedd4;Grd;Mkp3;asf1;cmpy;chb;pzg;srl;CG12147;puc;pum;Ras85D;CG8507;Fmr1;Su(fu);CtBP;pic;rdx;PK1-R;eff;Sdr;Akt1;htl;cdi;H;slmb;GABA-B-R2;Rassf;Irk2;RanBP3;Pli;Tsc1;Pp1alpha-96A;puf;ssh;Bili;Cad96Ca;gro;Ser;wdb;Doa;Diedel;alph;TkR99D;Axn;CG15537;spdo;wts;CanA1;dco;Gprk2;kek6;fuss;Rbf;Sik2;CG2918;N;Rala;CG4096;dx;lz;nej;PPP4R2r;sev;dsh;Ptp10D;CG2577;CkIalpha;Smr;lic;HDAC4;hiw;Pp1-13C;Graf;tay;CG42684;mnb;Vps4;Ulp1;Vav;et;wap
eye-antennal disc development	al;chinmo;Rca1;salr;dac;rdo;Mcm10;tsh;so;babo;Asx;Poxn;Dll;zip;bab1;eyg;trc;opa;Ras85D;hyd;ss;Dl;Stat92E;C15;danr;dan;Ser;Axn;pygo;ey;toy;N;sn;oc;lz;hop;f;B-H2;B-H1
stem cell differentiation	spen;S;H15;lid;wg;C1GalTA;numb;da;pdm2;kuz;CycE;ham;Nedd8;brat;spi;nito;dpn;eve;inv;en;tum;SMC2;grh;stau;enok;Kr;vn;D;Arf79F;hkb;cas;Antp;Cenp-C;hb;Ras85D;Tctp;ems;pnr;Abd-B;osa;htl;Dl;mira;Stat92E;tin;sav;scrib;tll;sc;ase;arm;N;Pdcd4;run
negative regulation of signaling	l(2)gl;ebi;lwr;ds;dock;CG4629;cpb;Su(dx);aop;insv;Hrs;CG3277;ed;Ddr;Nlg2;uif;RapGAP1;mts;Pp2A-29B;Akap200;d;raw;numb;Ror;rho-5;piwi;kek2;crol;bun;kek4;NimA;Cul3;CG7094;swm;Ret;Cul2;Src42A;Bap170;pk;cos;Cul1;Hey;lig;Acsl;gcl;Su(var)2-10;CG10459;TER94;stan;CG12344;otk;Cam;Sin3A;Drl-2;Nrk;tum;Opa1;phyl;Mlf;casp;Rho1;spin;Alk;MESR4;par-1;hpo;cpa;PTP-ER;apt;Sesn;ken;MAN1;rno;E(bx);Ptp61F;msn;pav;CG10289;tow;nmo;BI-1;Cbl;Gug;RasGAP1;scyl;chrb;Atg1;Notum;Nedd4;Grd;Mkp3;asf1;cmpy;chb;pzg;srl;CG12147;puc;pum;Ras85D;CG8507;Fmr1;Su(fu);CtBP;pic;rdx;PK1-R;eff;Sdr;Akt1;htl;cdi;H;slmb;GABA-B-R2;Rassf;Irk2;RanBP3;Pli;Tsc1;Pp1alpha-96A;puf;ssh;Bili;Cad96Ca;gro;Ser;wdb;Doa;Diedel;alph;TkR99D;Axn;CG15537;spdo;wts;CanA1;dco;Gprk2;kek6;fuss;Rbf;Sik2;CG2918;N;Rala;CG4096;dx;lz;nej;PPP4R2r;sev;dsh;Ptp10D;CG2577;CkIalpha;Smr;lic;HDAC4;hiw;Pp1-13C;Graf;tay;CG42684;mnb;Vps4;Ulp1;Vav;et;wap
post-embryonic animal organ development	l(2)gl;net;spen;kis;al;ebi;lwr;Pkg21D;S;Su(dx);Rab5;Chd1;Mad;sob;ed;ft;Traf4;vri;chic;lid;PDZ-GEF;Rca1;wg;Wnt6;chm;d;Cks30A;gcm;lft;loh;Myo31DF;ab;salr;crol;Sos;He;Su(H);Cul3;CycE;crp;Syx5;dac;spi;tsh;gus;Src42A;jing;Bap170;pk;cos;so;sns;babo;dap;lola;psq;inv;en;ths;otk;Cyp301a1;Sin3A;sca;vg;mam;cg;Asx;kn;chn;Hr51;Poxn;Dg;Rho1;RhoGEF2;cnk;RhoGAP54D;lolal;fj;sbb;par-1;lms;shg;cv-2;wmd;Chi;tsr;Dll;zip;klar;bab1;mwh;Rac1;msn;Mrtf;Cip4;l(3)psg2;vn;tow;akirin;nmo;msk;Cbl;Gug;path;RasGAP1;prc;RhoGAP68F;ara;caup;flr;RhoGAP71E;brm;Mbs;Nedd4;MYPT-75D;ftz-f1;Mkp3;trc;in;skd;TfAP-2;opa;corto;Pak;Alh;rn;puc;Poxm;hyx;CG8149;Ras85D;hyd;jumu;nsl1;mor;srp;ss;osa;htl;Dl;RhoGAP92B;cic;Stat92E;H;lbl;lbe;C15;how;wge;nau;Nup98-96;mbc;tok;tld;polybromo;tnc;tx;scrib;Tl;spz;Ser;Mtl;Noa36;stg;alph;Axn;dco;Gprk2;pygo;heph;Crk;lgs;zfh2;ey;fuss;CG13366;arm;kirre;N;bi;ctp;ovo;sqh;dx;Dok;sn;slpr;oc;Lim1;Moe;lz;btd;dsh;hop;Drak;dy;pot;fw;hep;tay;disco-r;Rok;f;B-H2;B-H1;Ulp1;Hs3st-B;e(y)3;dome;Cdc42;RhoGAP19D
appendage development	net;spen;kis;al;ebi;S;Su(dx);Rab5;Chd1;Mad;sob;ed;ft;vri;PDZ-GEF;wg;Wnt6;d;lft;ab;salr;crol;Sos;Su(H);Cul3;CycE;dac;spi;tsh;Src42A;jing;Bap170;pk;cos;babo;lola;psq;inv;en;sca;vg;mam;cg;Asx;kn;Hr51;Poxn;Dg;Rho1;RhoGEF2;cnk;RhoGAP54D;fj;sbb;par-1;shg;cv-2;wmd;Chi;tsr;Dll;zip;trh;mwh;Rac1;Mrtf;Cip4;l(3)psg2;vn;tow;nmo;msk;Cbl;Gug;path;RasGAP1;RhoGAP68F;eyg;ara;caup;flr;D;RhoGAP71E;brm;Mbs;Nedd4;MYPT-75D;ftz-f1;Mkp3;trc;in;skd;TfAP-2;corto;Pak;Alh;rn;tgo;hyx;Ras85D;jumu;trx;mor;ss;osa;Dl;RhoGAP92B;cic;Stat92E;H;lbl;lbe;C15;how;Syx1A;tok;tld;polybromo;tnc;danr;dan;tx;scrib;Ser;Mtl;Axn;dco;Gprk2;pygo;heph;lgs;zfh2;fuss;arm;wds;N;bi;ctp;ovo;sqh;dx;Dok;sn;Lim1;lz;btd;dsh;Drak;dy;pot;fw;tay;disco-r;Rok;f;Hs3st-B;e(y)3;Cdc42;RhoGAP19D
lamellipodium organization	cpb;SCAR;aPKC;ena;cpa;tsr;Rac1;SH3PX1;Abl;Abi;Tm1;psidin;ssh;Mtl;hep;Cdc42
regulation of cell cycle	l(2)gl;Hrs;Mad;tim;Spindly;Bub1;CG14020;Lam;CG7236;Rca1;wg;Cks30A;Dref;Stam;cmet;crol;CycY;Pk34A;Sos;Su(H);CycE;twe;Syx5;fzy;grp;lok;RPA2;Mcm10;CG31612;Nipped-B;geminin;Br140;Orc1;scra;dpn;babo;dap;dila;Prosalpha7;TER94;Mat1;Prosbeta5;Mtor;Sin3A;vg;Dp;cnn;mars;tum;dup;Rif1;Lis-1;Rae1;CycB;mi;yki;enok;armi;Eip63E;ago;Claspin;Dhc64C;mad2;Rcc1;RecQ4;mtrm;CG43163;Cdc6;CycA;ssp;vih;sti;caup;CG10738;endos;gnu;Msh6;brm;CycT;Capr;Mi-2;kni;Pitslre;chb;pzg;Cdk12;Chro;Hus1-like;PEK;asl;gpp;alphaTub84B;puc;pum;CG8273;dmt;alphaTub85E;Fmr1;tws;CG6345;Tctp;Blm;Aos1;B52;mor;htl;14-3-3epsilon;koko;gwl;Dl;Sep2;CG15923;Pi3K92E;slmb;SNF4Agamma;Tsc1;CycB3;scrib;CG5003;stg;Bub3;cindr;tll;CycG;sc;ase;Rbf;east;wapl;Klp3A;Zw10;N;Mnt;otu;Moe;Dsor1;nej;Ran;Pa1;PhKgamma;Smr;mus101;ben;Rab3-GEF;Myb;CycD;mei-41;Rok;Sap30;mnb;Grip84
regulation of binding	tim;Nipped-B;Hsf;fj;CycB;Ssrp;CycA;Mi-2;dgrn;gpp;Su(fu);Atx2;BRWD3;CycB3;ttk;Rbf;wapl;Dsp1
cytoskeleton-dependent intracellular transport	rempA;stai;milt;CG3769;CG42366;CG5142;btv;CG15161;nompB;pk;cos;dila;Lis-1;Khc;CG7744;klar;Aplip1;Oseg4;Dhc62B;Oseg2;Girdin;pav;Dhc64C;nudE;Klp68D;Atg1;CG6652;Fmr1;CG3259;CG4525;Dlc90F;Lrrk;Rab1;gammaCOP;Kif3C;futsch;sqh;Marf;Pink1;Dlic;g;Lsd-2
rhythmic process	eys;E23;tim;Ir25a;vri;lid;homer;mts;Pp2A-29B;Acer;numb;rho-5;Rh5;B4;Cul3;Ac3;Nipped-B;Tdc2;so;CG12344;Iswi;Hr51;Rho1;DAT;prod;5-HT1B;5-HT1A;spag;Mid1;Trh;Rac1;cue;Shab;Hsp83;lark;TrpA1;Ilp5;Rh7;SRm160;Mbs;Grd;cyc;TfAP-2;CkIIalpha;ctrip;Dh44;Fmr1;tws;Pp1-87B;Atx2;Akt1;Fer2;gl;unc79;slmb;e;Pp1alpha-96A;mld;Ets96B;unc80;Dop1R2;Axn;Fer2LCH;dco;gw;inc;Adar;Pdfr;CG2650;tyf;nej;nocte;BTBD9;rtv;hop;CkIIbeta;CkIalpha;na;Pp1-13C;mnb;dome;tilB
regulation of localization	l(2)gl;kis;AP-2alpha;crq;S;Su(dx);aop;Sec24CD;Rab5;Hrs;lilli;pgant4;tim;Shaw;ft;CG14020;Lam;GluRIIA;chic;mmy;Sec61alpha;Tango1;homer;smt3;Pvf2;Pvf3;Su(var)205;Snx6;emb;Shawl;numb;gcm;FKBP59;rho-5;Stam;Nup154;ZnT33D;CG6405;PICK1;kuz;Ca-alpha1D;BicD;Sytalpha;CadN;Nak;Catsup;brat;swm;spi;dimm;Nipped-B;Pld;mim;pk;Dscam1;cos;CG2121;Acsl;TER94;stan;Mtor;wash;Cam;Sin3A;nemy;bic;Syngr;Prosap;aPKC;Hr51;unc-5;Rho1;Khc;Pkc53E;Elk;stau;Rgk2;ena;Tab2;Rgk1;par-1;Lrt;exu;shg;mago;Rgk3;Synj;tsr;sei;NKAIN;NaCP60E;zip;klar;Glut1;Rac1;Ptp61F;ru;Fife;Shab;enc;ens;CG18675;Teh4;Teh3;tipE;CG13712;vn;Rcc1;Galphai;corn;Cbl;SH3PX1;RhoGAP68F;ArfGAP1;SNCF;mop;bmm;Sytbeta;comm;Hip14;Abl;tap;Nedd4;Shal;Rab8;Mi-2;Toll-9;cmpy;Rab26;Syx7;Wnk;CapaR;Csp;mael;Arf79F;cno;Kat60;Orco;dgrn;Pak;puc;Rel;Teh1;ClC-a;Snx3;Su(fu);rdx;PK1-R;nsl1;Akt1;gish;RhoGAP92B;mira;Pi3K92E;Lrrk;Rab11;slmb;Rab1;GABA-B-R2;CASK;Irk2;mbc;Syx1A;Nup358;CG4960;scrib;eater;wdb;Cnx99A;sima;AdoR;CG15537;wts;cindr;dco;Gprk2;gammaCOP;ttk;Syt7;gw;Rbf;Rab27;east;wapl;CG3078;CG44774;swa;CG10958;Crag;Moe;Erk7;spri;sbr;Gtp-bp;Ran;rtv;dsh;Evi5;prtp;cac;Sec16;hep;Syt12;NetB;eag;Lsd-2;Graf;CG9915;U2af50;Fur2;Rok;mnb;upd2;CG34401;Tao;Ranbp21;Rab35;Rab10
peptidyl-amino acid modification	CG11023;CG17075;lwr;CG3515;CG3277;msl-2;CG3964;Art2;Ncoa6;lid;CG9098;Ddr;CG34345;TTLL3B;TTLL3A;CG11221;smt3;chm;Ntl;Su(var)205;Chrac-14;FKBP59;Ror;CG33303;Dpy-30L1;Dnz1;YL-1;CG5142;CG31730;CG7094;CG5790;msl-1;CG10947;CG18810;CG9246;Ret;CG8677;d4;Src42A;Br140;CG30350;MrgBP;san;E(Pc);otk;CG8878;Drl-2;Ack-like;Nrk;CG4676;Rcd1;BEAF-32;aPKC;SRPK;CG4945;Alk;Pkc53E;CG17287;CG10931;Pcl;FK506-bp2;hpo;CG16716;dom;Rtf1;CG2852;CG9899;yki;enok;CG3492;Pdk1;CG32845;Ptp61F;GC;Cdc37;Rcd5;Dpy-30L2;Src64B;CG32238;CG32236;velo;eco;Uba2;Cbl;Gug;CG4483;Jarid2;Naa60;JIL-1;CG6168;CG6931;Spt20;upSET;btl;CG7768;CG12316;Pdi;brm;CG33060;Abl;CG13029;qjt;CG18234;CG18233;CG18231;CG32201;CG32199;Ugt;ash1;trc;Su(z)12;CG32944;Hph;CG12147;CG2104;gpp;Ada2b;CG15864;Art4;pont;Art1;Csk;CG14715;Taf12;Aos1;Art9;Art6;trx;Sdr;FK506-bp1;nsl1;Akt1;gish;htl;Ada2a;gwl;CG14282;psidin;Lrrk;CG31108;vig2;Cad96Ca;CG5071;CG5987;Moca-cyp;CG1894;Doa;CG11828;dgt1;PH4alphaEFB;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;CG31371;PH4alphaSG1;CG34041;PH4alphaNE2;CG9698;PH4alphaNE3;CG31013;Pka-C2;wts;dco;Asator;G9a;Hmt4-20;trr;wds;Tip60;MAPk-Ak2;Dsor1;Cfp1;nej;sev;Pa1;hop;CG1578;CG2577;CkIalpha;CG12717;hep;Set2;Tango13;tth;CG8509;CG9915;Cyp1;mei-41;mbt;CG8918;Ulp1;CG12200;CoRest;e(y)3;et
muscle structure development	Pkg21D;dock;aop;Sec24CD;CG9961;Thor;ed;Cf2;lid;Tsp;wg;C1GalTA;numb;SCAR;ab;kuz;crp;kon;tup;Pax;coro;wech;CanB2;Gapdh1;sns;Wnt2;eve;lola;ths;SmD3;Sin3A;vg;tum;mspo;kn;hbs;chn;Arf51F;Dg;Rho1;Khc;Alk;HLH54F;hts;lms;Vrp1;twi;retn;zip;Kr;klar;Rac1;ens;pav;akirin;msk;Gug;Zasp67;rols;ara;caup;flr;Nedd4;skd;Hem;Antp;Alh;Poxm;Ras85D;Scgbeta;Abi;nsl1;Akt1;Pak3;Abd-B;htl;Stat92E;tin;bap;lbl;lbe;slou;how;PyK;lmd;nau;mbc;mask;E(spl)mdelta-HLH;tx;Tl;spz;CG14260;WASp;Pglym78;Tpi;ttk;Crk;CG13366;tw;DAAM;Scgdelta;kirre;N;Grip;org-1;exd;Rok;sing;Vav;wap
epithelial tube morphogenesis	l(2)gl;net;spen;kis;al;ebi;S;Su(dx);Rab5;Chd1;Mad;sob;ed;ft;Traf4;vri;Lam;chic;PDZ-GEF;mmy;Rca1;wg;Wnt6;chm;d;raw;Cks30A;pim;lft;Myo31DF;ab;salr;crol;CG17211;Sos;Su(H);Cul3;sna;CycE;dac;spi;cad;tsh;gus;Src42A;jing;Bap170;pk;cos;so;babo;dap;lola;psq;inv;en;otk;Cyp301a1;sca;vg;mam;cg;Asx;kn;aPKC;Hr51;Poxn;Dg;Rho1;RhoGEF2;cnk;RhoGAP54D;fj;sbb;rib;par-1;shg;cv-2;twi;wmd;Chi;tsr;Dll;zip;Kr;trh;bab1;mwh;Rac1;msn;Mrtf;ago;Cip4;l(3)psg2;vn;tow;nmo;msk;Cbl;Gug;foi;path;RasGAP1;byn;RhoGAP68F;ara;caup;flr;btl;RhoGAP71E;brm;Mbs;Nedd4;MYPT-75D;ftz-f1;Mkp3;trc;in;skd;TfAP-2;opa;corto;Hph;kkv;Pak;rn;puc;pyd;hyx;Ras85D;dmt;hyd;knk;jumu;mor;ss;osa;Dl;RhoGAP92B;cic;Stat92E;H;lbl;lbe;C15;how;wge;VhaAC39-2;mbc;tok;tld;polybromo;tnc;tx;scrib;Ser;Mtl;stg;alph;Axn;hdc;dco;Gprk2;gammaCOP;pygo;ttk;heph;Crk;lgs;zfh2;ey;fuss;ase;CG13366;arm;N;VhaAC39-1;bi;ctp;ovo;sqh;dx;Dok;sn;slpr;oc;Lim1;Moe;Dsor1;btd;dsh;hop;Drak;Ptp10D;dy;pot;fw;hep;tay;disco-r;Rok;f;B-H2;B-H1;Hs3st-B;e(y)3;dome;Cdc42;RhoGAP19D
post-embryonic animal morphogenesis	l(2)gl;net;spen;kis;al;ebi;S;Su(dx);Rab5;Chd1;Mad;sob;ed;ft;Traf4;vri;chic;PDZ-GEF;Rca1;wg;Wnt6;chm;d;Cks30A;lft;Myo31DF;ab;salr;crol;Sos;Su(H);Cul3;CycE;dac;spi;tsh;gus;Src42A;jing;Bap170;pk;cos;so;babo;Uba1;dap;TER94;lola;psq;inv;en;otk;Cam;Cyp301a1;sca;vg;mam;cg;Asx;kn;Hr51;Poxn;Dg;Rho1;spin;Ptp52F;RhoGEF2;cnk;RhoGAP54D;fj;sbb;Atg7;par-1;shg;cv-2;wmd;egl;Chi;tsr;Dll;zip;bab1;mwh;Rac1;msn;Mrtf;Ubi-p63E;Cip4;l(3)psg2;vn;tow;nmo;msk;BI-1;Cbl;Gug;path;RasGAP1;RhoGAP68F;ara;caup;Atg1;flr;D;RhoGAP71E;brm;Mbs;Nedd4;Eip74EF;grim;MYPT-75D;Atg3;ftz-f1;Mkp3;trc;in;skd;TfAP-2;opa;corto;Atg17;Pak;rn;puc;Atg13;bel;hyx;Ras85D;hyd;jumu;mor;ss;osa;Dl;RhoGAP92B;cic;Stat92E;H;Pi3K92E;lbl;lbe;C15;how;wge;mbc;Tsc1;BRWD3;tok;tld;polybromo;tnc;tx;scrib;Ser;Mtl;stg;alph;Axn;hdc;dco;Gprk2;gammaCOP;pygo;heph;Crk;lgs;zfh2;ey;fuss;CG13366;arm;N;cib;bi;ctp;ovo;sqh;dx;Dok;sn;slpr;Trf2;oc;Lim1;Moe;btd;Atg8a;dsh;hop;Drak;dy;pot;fw;hep;BthD;tay;disco-r;Rok;f;B-H2;B-H1;Hs3st-B;e(y)3;dome;Cdc42;RhoGAP19D
gliogenesis	spen;rau;poe;numb;gcm;gcm2;kuz;jing;so;ths;unc-5;dup;Rho1;spin;hpo;retn;yki;Rac1;ago;CG13287;Mdr65;Galphai;btl;hkb;Cont;cno;cas;tgo;stumps;kibra;gish;htl;Dl;slmb;how;CG45049;XNP;Ser;wts;ey;N;nej;NetB;eag;CG6398;Mer;amn
cytoplasm organization	Rab5;chic;Ge-1;Rab6;spir;gus;gcl;TER94;psq;SmD3;bic;Lis-1;Khc;stau;par-1;exu;mago;egl;klar;Hsp83;armi;enc;mael;lost;jagn;osk;rump;glo;sqd;Tm1;mira;Rab11;slmb;Rab7;Syx1A;scrib;btz;swa;Moe;Mer
import into cell	Gs1;AP-2alpha;crq;Su(dx);aop;Rab5;Drp1;Hrs;CG15399;tim;nrv1;Nlg2;Ntl;Mcr;numb;gcm;SCAR;PICK1;NimA;NimC1;NimC3;Rab14;CG33310;BicD;ninaD;Nak;brat;Nhe2;Src42A;mim;Dscam1;Corin;CG18659;ced-6;polyph;Sr-CII;Vmat;stj;Syngr;Arf51F;Rho1;spin;Lis-1;DAT;Pkc53E;ktub;Synj;Vrp1;CG10339;SerT;Mid1;Rac1;Pxn;kst;Cbl;foi;PGRP-LC;ArfGAP1;Atg1;Zip71B;comm;Dab;Nedd4;CG32206;Clc;Syx7;Arf79F;slif;CG41099;aux;Nlg1;CD98hc;Rel;CG8176;CG34402;nsl1;gish;l(3)05822;CG11703;psidin;Nlg4;Lrrk;Synd;CG3822;Atpalpha;Rab11;CASK;lqfR;AP-2mu;Irk2;prt;Rab7;scrib;eater;Mtl;WASp;Fer2LCH;cindr;dco;Gprk2;faf;Crk;CG12773;csw;dx;Moe;spri;CG42339;prtp;hep;Fer3HCH;g;yl;Graf;mnb;Tao;Mer;Cdc42;Rab35
positive regulation of cellular component organization	AP-2alpha;ebi;chinmo;cpb;Sec24CD;Drp1;Mad;tim;Elba3;Lam;chic;mmy;Rack1;Su(var)205;Ssb-c31a;numb;loh;SCAR;piwi;PICK1;Arpc1;sna;BicD;kon;spir;Arpc2;Nipped-B;Pld;pk;Rpt1;dpn;stan;wde;Mtor;wash;cid;Prosap;Opa1;aPKC;Hr51;Lis-1;Pkc53E;stau;Pcl;ena;Synj;Vrp1;pgc;Rtf1;Ssrp;yki;Pgam5-2;Rac1;CG11486;Cip4;Dhc64C;scny;nmo;Cbl;nudE;simj;Rpt4R;RhoGAP68F;vih;flr;Abp1;comm;Abl;nudC;Nedd4;chb;Syx7;Arf79F;kra;kat-60L1;Pak;Ada2b;Rel;HP1e;Rpt3R;Tctp;Jupiter;Su(var)3-7;Abi;Cp190;msps;Akt1;gish;Pak3;cal1;RhoGAP92B;psidin;Stat92E;Pi3K92E;Synd;Rab1;CASK;nau;Rpt5;Nup98-96;spz;eater;Mtl;WASp;Rpt6R;cindr;dco;Gprk2;G9a;DAAM;trr;PsGEF;z;lva;Marf;Pink1;Moe;spri;Imp;Rpt3;dsh;hop;nod;prtp;cac;hep;Bap60;Graf;caz;Rok;mnb;Vav;CoRest;Tao;Cdc42;Rab35;CG15456;Rpt6
STAT cascade	Cnot4;CycE;lig;Su(var)2-10;RanBPM;apt;ken;E(bx);Ptp61F;pzg;Stat92E;BRWD3;scrib;Diedel;Imp;hop;CycD;upd2;et;dome
protein hydroxylation	CG34345;Pdi;CG18234;CG18233;CG18231;CG32201;CG32199;Hph;CG15864;CG11828;PH4alphaEFB;PH4alphaSG2;PH4alphaMP;PH4alphaNE1;CG31371;PH4alphaSG1;CG34041;PH4alphaNE2;CG9698;PH4alphaNE3;CG31013
