GO	genes
meiotic cell cycle	lwr;Rab5;oaf;Bub1;Cap-D3;tomb;Lam;chic;ifc;lid;Rca1;SA;baf;Btk29A;mtsh;aust;Cks30A;pelo;Nup154;CycE;CG18109;twe;Syx5;fzy;grp;kel;tos;Grip71;gammaTub37C;RanGAP;Top2;lok;spir;RPA2;del;Mcm10;Nipped-B;BubR1;Incenp;scra;CanB2;dap;pds5;wuc;sca;cnn;LamC;Arf51F;SRPK;krimp;Nup62;tef;sub;Topors;Rae1;rad50;ord;bgcn;fzr2;tsr;egg;wac;fwd;SA-2;alphaCOP;Cdc37;aly;enc;RfC4;pav;Src64B;mei-P22;eco;CG7716;pbl;mtrm;Klp67A;nbs;RasGAP1;nudE;can;JIL-1;sti;Syx13;endos;Msh6;CG6664;polo;sa;mael;Arf79F;tacc;Hus1-like;mia;Sas-4;lds;RpA-70;Cenp-C;hyd;topi;Skeletor;Mcm5;Blm;Spc25;eff;spn-E;msps;sra;cal1;gwl;nos;Synd;Rab11;Rab1;mod(mdg4);bond;eIF4G2;asp;ball;larp;Doa;yem;stg;ncd;gammaCOP;CycG;mus81;east;wapl;Klp3A;Zw10;dhd;Sxl;mei-P26;Klp10A;Ran;nod;bif;wisp;Nup93-1;mud;Grip128;Pp2B-14D;mei-218;CG12200;Grip84;Mer
reproductive behavior	Gr21a;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;Gr23a;tim;qtc;dsf;Nlg2;Gr28a;Gr28b;Rack1;Btk29A;Acp32CD;Gr32a;Acp33A;Pde1c;Gr33a;jhamt;Gr36a;Gr36b;Gr36c;btv;Acp36DE;Gr39a;Gr39b;Tdc2;ppk25;Gr43a;lig;lectin-46Cb;lectin-46Ca;Gr47b;Drip;Ir52d;Poxn;Jhe;5-HT1A;Tab2;Gr57a;Gr58a;Gr59a;Gr59b;Gr59c;Gr59d;Gr59e;Gr59f;retn;ppk29;lov;Gr63a;tipE;BG642312;ple;Gr66a;Ilp2;Or67d;Gr68a;CG12316;tra;ash1;lush;Gr77a;Sems;TfAP-2;Alh;Ir84a;FoxP;Fmr1;natalisin;sra;ss;NPF;Abd-B;fru;Gr92a;Oamb;SIFaR;CASK;Gr93a;Gr93b;Gr93d;prt;to;Mst57Da;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;mil;CG9997;aqrs;intr;Dup99B;5-HT7;mGluR;y;Adar;tko;egh;per;w;SPR;Tbh;Moe;Gr8a;Gr9a;Gr10b;Gr10a;cac;hec;eag;ppk23;amn;tilB
male gamete generation	Pex12;Hydr2;Cap-D3;tomb;Lam;Hsp60C;ifc;eya;snRNP-U1-70K;milt;gudu;poe;mtsh;alien;Rcd-1r;aust;scat;pelo;Pen;Npc1a;porin;piwi;Nup154;spag4;Pkd2;ACXC;ACXB;ACXA;CG12404;Prosalpha6T;ms(2)34Fe;yuri;Cul3;nht;twe;Syx5;Cyt-c-d;Mst36Fb;Mst36Fa;Top2;Cul2;BubR1;EcR;Incenp;so;didum;scra;U2A;sns;dila;oys;mlt;Mtor;Prp8;vis;Iswi;wuc;Pex13;LamC;aPKC;Arf51F;Lis-1;ste24b;tef;sub;Topors;mip40;exu;sktl;Rae1;comr;Vrp1;nsr;Klp59D;ord;bgcn;Nap1;fzr2;uri;Pdk1;Dic61B;E(bx);Tudor-SN;fwd;cue;alphaCOP;aly;blanks;mad2;zpg;mfr;Klp67A;nudE;can;sti;Syx13;Hip14;nes;ms(3)76Ba;Rcd7;ms(3)76Cc;wnd;Kap-alpha1;Mi-2;polo;Mst77F;CSN3;park;sa;mael;Arf79F;aux;mia;asl;dj;Sas-4;RacGAP84C;Mst84Dd;Mst84Db;lds;bel;HP1e;hyd;topi;Fmr1;Bruce;Mst87F;soti;eff;spn-E;Mst89B;gish;Dlc90F;nos;Synd;Rab11;Rab1;mod(mdg4);Cby;how;bond;Tpl94D;fzo;eIF4G2;tbrd-1;ana1;Osbp;Rb97D;mil;mfrn;Mst98Ca;Mst98Cb;larp;WASp;Ctr1C;gskt;gammaCOP;heph;Klp3A;Zw10;ctp;Act5C;mei-P26;Imp;Kap3;dmrt11E;Grip128;Chc;xmas-1;xmas-2;Grip84;Mer;Cdc42;Phf7;sw;unc
eye-antennal disc development	al;chinmo;dpp;eya;Rca1;salr;salm;ck;dac;rdo;Mcm10;tsh;so;babo;sqa;sha;Asx;Poxn;Dll;zip;bab1;eyg;trc;opa;Ras85D;hyd;ss;Dl;Stat92E;C15;danr;dan;Ser;Axn;pygo;ey;toy;N;sn;oc;Bx42;lz;hop;disco;f;B-H2;B-H1
chromatin organization	ebi;CG12674;Rab5;CG3515;Elba2;Chd1;msl-2;Art2;Bsg25A;Elba3;Ncoa6;Hel25E;Lam;lid;eya;sens-2;Mnn1;chm;Su(var)205;Chrac-14;borr;Etl1;Utx;Dpy-30L1;YL-1;piwi;crol;esc;nub;Sfmbt;msl-1;Top2;bur;Mcm10;CG8677;Df31;CG31702;CG31703;Haspin;Nipped-B;Nipped-A;BubR1;bin3;jing;Bap170;Br140;Incenp;CG1620;U2A;Kdm4A;MrgBP;Caf1-105;psq;wde;san;E(Pc);tou;Mtor;wash;Sin3A;spt4;Iswi;Psc;cid;CG6220;fl(2)d;AGO1;Rcd1;Asx;LamC;Su(var)2-HP2;BEAF-32;Rif1;Khc;Bap55;CG10931;Pcl;lolal;Prp19;Topors;DMAP1;dom;HmgZ;HmgD;dve;pgc;Rtf1;Mes4;CG9899;Ssrp;Nap1;yki;enok;Nurf-38;egg;Kr;E(bx);scf;dre4;mu2;aly;Rcd5;Dpy-30L2;blanks;scny;Bre1;msl-3;eco;HP4;Gug;Jarid2;Naa60;E(z);JIL-1;sti;snky;Spt20;upSET;CG12316;brm;CG33060;l(3)73Ah;HipHop;Chd3;ash1;Taf6;asf1;Mi-2;Su(z)12;Mst77F;Set1;Parp;ctrip;mia;MTA1-like;gpp;Taf1;e(y)2b;Ada2b;CG8036;CG8223;E(var)3-9;hyx;HP1e;MBD-like;Scm;hyd;Art4;Fmr1;jumu;Art1;Tctp;Taf12;CG10909;CtBP;Su(var)3-7;Art9;Art6;trx;su(Hw);BigH1;Hsc70-4;Set;Cp190;nsl1;spn-E;mor;Bin1;tara;cal1;osa;CG7379;CG14282;Ino80;CG10887;Stat92E;bon;mod(mdg4);PSR;Tpl94D;Nup98-96;CG6204;polybromo;vig2;XNP;ball;His2Av;CG5815;mil;CG1894;yem;dgt1;Nlp;Hcf;pho;G9a;Hmt4-20;CDC45L;trr;ph-d;wapl;z;wds;fs(1)Ya;CG12498;Parg;Tip60;CG2982;dhd;mof;Act5C;Spt6;CG32732;CG12659;Caf1-180;HP1b;Cfp1;nej;CG43902;Pa1;hop;Usp7;Brms1;Bap60;HDAC4;Set2;tth;Nup93-1;Top1;Nup153;Sap30;CoRest;e(y)3;Hers
response to drug	Gr21a;aru;S;Gr22f;Gr22e;Gr22c;Gr22b;Gr22a;VGlut;Gr23a;homer;Gr28a;Gr28b;Akap200;CG9314;Pka-C1;CG7309;Gr32a;Gr33a;Tor;Adh;esg;Gr36a;Gr36b;Gr36c;Sytalpha;Gr39a;Gr39b;rl;EcR;Tdc1;Tdc2;Gr43a;Dic3;RyR;whd;Gr47b;Cyp6g2;CG3790;Mdr49;Vmat;Mdr50;Ih;Cyp6a8;Arf51F;Jhe;DAT;inaC;hppy;Gr57a;Gr58a;Synj;Vrp1;Vps35;Cyp6d2;Gr59a;Gr59b;Gr59c;Gr59d;Gr59e;Gr59f;apt;Pde8;Galphas;mAChR-A;Tpc2;Pdk1;Gr63a;CG10226;Mdr65;Gr66a;Rdl;nbs;Gr68a;CrzR;CG32103;CG8745;Sytbeta;CG7255;st;CG6893;Dic4;Cat;CG32206;lush;cyc;Gr77a;Ac78C;AcCoAS;slif;rtp;Orco;Nmdar1;kra;glob3;glob2;mAChR-B;pum;Arfip;Blm;GC1;GC2;CG34402;ry;Crz;dpr9;pxb;Pxd;cher;VAChT;unc79;Gr92a;CASK;Gr93a;Gr93b;Gr93d;Nrx-1;Gclm;klg;Tsc1;jnj;CG31121;Gr97a;Gr98a;Gr98b;Gr98c;Gr98d;Dop1R2;CanA1;dco;Syt7;per;w;iav;Tbh;slpr;Gr8a;Gr9a;Ant2;Gr10b;Gr10a;Syt12;na;hang;phm;Cyp18a1;Tao;amn;Cyp6v1;Cyp6t1
growth	l(2)gl;kis;al;ebi;PNUTS;cpb;Rab5;dpp;lilli;Mad;ft;bchs;chic;stai;Liprin-alpha;Nlg2;wg;poe;d;tai;Pka-C1;Pten;RnrL;Nos;SCAR;Nup154;CycY;bun;PICK1;Vha68-2;Tor;Sfmbt;kuz;CadN;CadN2;rdo;brat;CG9328;Cul2;step;Nipped-B;Src42A;EcR;jing;Mob4;pk;Dscam1;tor;sax;lig;pnut;Vang;Su(var)2-10;Wnt2;Uba1;stan;otk;vg;stj;Prosap;Hr51;dup;Syn2;Alk;RhoGEF2;Snx16;stau;fj;sbb;ena;hppy;par-1;hpo;18w;shg;mahj;Rae1;Synj;PIP5K59B;Sesn;bgcn;yki;Mmp1;Eps-15;Pdk1;Ptpmeg;trio;Rac1;CG1139;dar1;ago;Cip4;Src64B;Ank2;nmo;mRpL12;nwk;Ilp2;simj;scyl;chrb;ssp;RhoGAP68F;ara;caup;mirr;Atg1;Wbp2;Abp1;Liprin-beta;btl;fz;shd;mop;Toll-6;dbo;Mbs;tra;Abl;tap;Capr;NijB;pip;wnd;Rab8;kug;sNPF-R;cmpy;Syx7;Syn1;Ten-m;slif;srl;cno;Kat60;Hph;jagn;Pak;Nlg1;pum;Ras85D;Scm;hyd;Fmr1;Tctp;Arfip;Csk;NijC;Paip2;rin;Abi;kibra;btsz;Sdr;Akt1;Ubx;Patr-1;htl;repo;14-3-3epsilon;nos;RhoGAP92B;cic;Sep2;Pi3K92E;Synd;Rab11;C15;tsl;CASK;PSR;Nrx-1;Octbeta1R;sav;Rassf;hh;mbc;Rab7;spas;Tsc1;Orct2;crb;puf;RASSF8;Lgr3;scrib;Mtl;fkh;WASp;Cul5;sima;hdc;wts;dco;pygo;CycG;Med;pasha;ttk;RhoGAP100F;Hcf;ey;DAAM;futsch;arm;usp;Ilp6;Syx4;N;Mnt;bi;raptor;Sxl;Dok;slpr;Caf1-180;spri;Imp;dsh;bif;cac;hep;lic;jub;eag;hiw;Efhc1.1;Chc;CycD;disco-r;caz;Rok;baz;mnb;Vps4;upd2;Wnt5;CG7423;rictor;Tao;Mer;Cdc42;pico;amn;Rab10;wap
negative regulation of cell communication	l(2)gl;ebi;lwr;ds;dock;CG4629;cpb;Su(dx);aop;insv;CG9962;CG3277;ed;Ddr;eya;Nlg2;uif;Mnn1;RapGAP1;mts;Pp2A-29B;Akap200;d;SoxN;numb;Pka-C1;Ror;Pten;Utx;rho-5;piwi;kek2;crol;bun;kek1;kek4;NimA;Cul3;heix;CG7094;drl;swm;Ret;Cul2;Src42A;Bap170;Mob4;pk;cos;tor;sax;Cul1;Hey;lig;Cul4;gcl;Su(var)2-10;CG10459;TER94;stan;CG12344;otk;Sin3A;Drl-2;Nrk;tum;phyl;Mlf;casp;Alk;MESR4;edl;hppy;par-1;hpo;cpa;PTP-ER;pirk;apt;Sesn;ken;MAN1;Eps-15;rno;E(bx);Ptpmeg;Ptp61F;msn;pav;DnaJ-1;CG10289;tow;Ank2;pbl;nmo;BI-1;Cbl;Gug;Rdl;PGRP-LF;RasGAP1;scyl;chrb;Pi3K68D;Atg1;fz;Notum;Nedd4;Grd;Mkp3;MESR6;asf1;trbl;cmpy;fng;chb;park;pzg;srl;CG12147;pum;Ras85D;AP-1mu;CG8507;Fmr1;CtBP;pic;rdx;PK1-R;eff;Sdr;Akt1;htl;cdi;H;slmb;GABA-B-R2;Cby;PSR;Rassf;Cdc16;RanBP3;Pli;spas;Tsc1;Apc2;crb;Pp1alpha-96A;puf;ssh;Bili;Cad96Ca;gro;Ser;wdb;Apc;Doa;Diedel;TkR99D;Axn;CG15537;wts;CanA1;dco;Gprk2;krz;Eph;fuss;Roc1a;Rbf;Sik2;CG2918;N;Rala;Ptp4E;CG4096;PpV;dx;Traf6;lz;nej;PPP4R2r;sev;dsh;Ptp10D;CG2577;Smr;lic;HDAC4;NFAT;jub;hiw;Pp1-13C;Graf;tay;CG42684;mnb;Vps4;Ulp1;Vav;kek5;MKP-4;et;Pp4-19C;wap
animal organ formation	dpp;Mad;slp1;uif;wg;chm;numb;Su(H);amos;tsh;phyl;unc-5;Dll;sens;nuf;fz;CG13465;BobA;Nedd4;Scr;neur;CtBP;put;ss;Ubx;Abd-B;H;Rab11;hh;E(spl)m8-HLH;Cul5;Med;arm;N;lz;dsh;NetB;exd;B-H2;B-H1
regulation of phosphorus metabolic process	l(2)gl;Pi3K21B;ebi;RpLP1;chinmo;cpb;CG34172;dpp;daw;CG3277;Traf4;CG9098;Ddr;Wee1;smt3;Mnn1;Rack1;mts;Pp2A-29B;Cks30A;Ror;Pten;Cdk5alpha;CG17124;Nos;CycY;kek1;Tor;CG31832;CycE;heix;chif;CG12620;CG6380;drl;scw;Ret;step;CG41520;Src42A;tor;CanB2;babo;dap;Drl-2;Nrk;drk;pcs;Alk;cnk;slim;edl;hppy;par-1;hpo;CkIIbeta2;cpa;PTP-ER;CycB;PIP5K59B;Pde8;Ssrp;Ssl;uri;Pdk1;Aplip1;Rac1;Ptp61F;Cdc37;Patj;msn;CycJ;Src64B;vn;CG10289;Cbl;PGRP-LF;I-2;CycA;endos;btl;gnu;CycT;bora;MYPT-75D;Mkp3;wnd;sNPF-R;trbl;park;CG17514;srl;cno;PEK;Atg17;CG2104;Pak;Atg13;Mkk4;Cks85A;M1BP;pyd;Ras85D;tws;CG6345;CG31391;CG31467;CG14689;Tctp;I-t;Blm;CG9286;rdx;Abi;Hexim;CG9593;sra;Pak3;GckIII;htl;koko;fray;gwl;bnl;Pi3K92E;SNF4Agamma;PSR;mats;Takl2;mbc;Pli;Tsc1;CycB3;ssh;Cad96Ca;XNP;wdb;spg;dco;CycG;krz;Crk;Eph;mav;PlexA;Actbeta;svr;CG32812;per;N;Rala;Cdk7;CanB;MAPk-Ak2;raptor;PpV;sws;slpr;Dsor1;CG1791;PPP4R2r;sev;CkIIbeta;hep;lic;Rab3-GEF;CG8509;CycD;mbt;Rok;CG32568;par-6;mnb;Pvf1;rictor;Vav;Tao;MKP-4;et;Mer;Cdc42;I-3;CG41106
response to endogenous stimulus	l(2)gl;Pi3K21B;lwr;dock;GluRIIC;aop;dpp;daw;CG2964;Mad;Hydr2;for;GluRIIA;GluRIIB;dsf;smt3;mts;Pp2A-29B;tai;Pten;Utx;Nos;piwi;Tor;Sos;rk;scw;Hr38;Cul2;step;Gpb5;rl;sxc;EcR;sax;Cul1;RagC-D;babo;CG10459;magu;ths;Dh44-R2;Iswi;Dh31-R;drk;Dh44-R1;Hr51;Ptp52F;Lis-1;cnk;swi2;grh;Ote;rig;cv-2;Sesn;MAN1;mAChR-A;Nurf-38;Pdk1;E(bx);MED14;trio;Ptp61F;Chd64;Src64B;Lkr;l(3)psg2;sgl;melt;CTCF;Shc;Ilp1;Ilp2;CG12289;CG7551;btl;CG12229;Crtc;Eip75B;AstC-R2;AstC-R1;ftz-f1;Rab8;trbl;cmpy;Eip78C;pzg;CG11249;srl;Pak;mAChR-B;bel;tgo;Ras85D;Dh44;Fmr1;svp;su(Hw);stumps;put;CG7362;Sdr;FK506-bp1;pnr;Akt1;CG14891;Lgr1;TyrRII;htl;bnl;Ir92a;Pi3K92E;GluRIIE;GluRIID;slmb;ETHR;SIFaR;PyK;Nup98-96;Tsc1;BRWD3;tld;Nup358;Lgr3;gro;wdb;fkh;Dop1R2;sima;CG15537;tll;CycG;Med;mav;fuss;G9a;Roc1a;Vps26;trr;usp;Sik2;csw;ph-p;Ilp6;raptor;Smox;Trf2;Dsor1;Pa1;tsg;HDAC4;Set2;Neto;hiw;CG15056;rictor;kek5;Cdc42;Rab10
negative regulation of signaling	l(2)gl;ebi;lwr;ds;dock;CG4629;cpb;Su(dx);aop;insv;CG9962;CG3277;ed;Ddr;eya;Nlg2;uif;Mnn1;RapGAP1;mts;Pp2A-29B;Akap200;d;SoxN;numb;Pka-C1;Ror;Pten;Utx;rho-5;piwi;kek2;crol;bun;kek1;kek4;NimA;Cul3;heix;CG7094;drl;swm;Ret;Cul2;Src42A;Bap170;Mob4;pk;cos;tor;sax;Cul1;Hey;lig;Cul4;gcl;Su(var)2-10;CG10459;TER94;stan;CG12344;otk;Sin3A;Drl-2;Nrk;tum;phyl;Mlf;casp;Alk;MESR4;edl;hppy;par-1;hpo;cpa;PTP-ER;pirk;apt;Sesn;ken;MAN1;Eps-15;rno;E(bx);Ptpmeg;Ptp61F;msn;pav;DnaJ-1;CG10289;tow;Ank2;pbl;nmo;BI-1;Cbl;Gug;Rdl;PGRP-LF;RasGAP1;scyl;chrb;Pi3K68D;Atg1;fz;Notum;Nedd4;Grd;Mkp3;MESR6;asf1;trbl;cmpy;fng;chb;park;pzg;srl;CG12147;pum;Ras85D;AP-1mu;CG8507;Fmr1;CtBP;pic;rdx;PK1-R;eff;Sdr;Akt1;htl;cdi;H;slmb;GABA-B-R2;Cby;PSR;Rassf;Cdc16;RanBP3;Pli;spas;Tsc1;Apc2;crb;Pp1alpha-96A;puf;ssh;Bili;Cad96Ca;gro;Ser;wdb;Apc;Doa;Diedel;TkR99D;Axn;CG15537;wts;CanA1;dco;Gprk2;krz;Eph;fuss;Roc1a;Rbf;Sik2;CG2918;N;Rala;Ptp4E;CG4096;PpV;dx;Traf6;lz;nej;PPP4R2r;sev;dsh;Ptp10D;CG2577;Smr;lic;HDAC4;NFAT;jub;hiw;Pp1-13C;Graf;tay;CG42684;mnb;Vps4;Ulp1;Vav;kek5;MKP-4;et;Pp4-19C;wap
protein phosphorylation	l(2)gl;ebi;RpLP1;Pkg21D;CG4629;chinmo;cpb;CG9886;dpp;CG9962;daw;CG3277;for;Traf4;Bub1;CG7236;CG9098;CG9222;Ddr;PDZ-GEF;CG11221;Wee1;smt3;Mnn1;Slob;Rack1;mts;Btk29A;borr;Cks30A;Pka-C1;CG42366;Dref;Ror;Pten;Cdk5alpha;Gyc32E;CycY;kek1;Tor;Dyrk2;CG31832;CycE;heix;chif;grp;CG7094;CG5790;Nak;drl;scw;lok;Ret;step;rl;CG41520;Haspin;CG17528;BubR1;Src42A;Incenp;tor;sax;CG8726;babo;Pdk;dap;sqa;otk;CG8878;Drl-2;Nrk;drk;CG8485;Tfb1;aPKC;pcs;SRPK;CG4945;Alk;inaC;Pkc53E;cnk;fj;slim;hppy;par-1;hpo;CG11099;CkIIbeta2;CG3216;cpa;PTP-ER;CycB;Pde8;Ssrp;Pask;gek;Ssl;Pdk1;CG7028;Aplip1;Rac1;Ptp61F;Cdc37;msn;CG11486;CycJ;Src64B;vn;CG10289;nmo;Cbl;PGRP-LF;Hsp67Bc;JIL-1;CycA;sti;Atg1;CG10738;btl;gnu;sff;Mo25;Abl;CycT;bora;Mkp3;wnd;trc;sNPF-R;polo;trbl;Pitslre;park;Cdk12;Wnk;CkIIalpha;CG17514;aux;tub;CG32944;CG34357;cno;CG12147;PEK;Atg17;Pak;Taf1;Atg13;Mkk4;Cks85A;M1BP;pyd;Ras85D;CG6345;Tctp;Csk;Blm;CG9286;rdx;Abi;put;Hexim;Sdr;CG9593;CG31183;Akt1;gish;Pak3;GckIII;htl;CG7156;PKD;koko;fray;CG14305;gwl;cdi;bnl;Ire1;Pi3K92E;SNF4Agamma;CASK;PSR;CG13850;mats;Takl2;CG10177;mbc;p38c;niki;CycB3;ssh;Cad96Ca;XNP;ball;wdb;Mtl;spg;Doa;CG1951;CG12069;Pka-C2;wts;dco;gskt;Gprk2;CycG;krz;Crk;Asator;Eph;mav;Actbeta;svr;Sik2;per;N;Rala;Cdk7;MAPk-Ak2;raptor;PpV;sws;slpr;CG7766;Dsor1;Erk7;CG1791;sev;hop;Drak;PhKgamma;CkIIbeta;CG2577;hep;lic;Rab3-GEF;CG8565;CycD;mbt;Rok;CG32568;par-6;CG8173;mnb;Pvf1;rictor;Vav;Tao;MKP-4;et;Mer;Cdc42
cation transport	GluRIIC;dpr3;CG34172;CG15406;CG8837;CG33281;CG33282;CG3285;CG15408;Shaw;nompC;GluRIIA;GluRIIB;CG31644;Ucp4C;Ucp4B;ppk7;ppk14;Fic;Nhe3;homer;nrv1;Nha1;Shawl;ppk18;ppk16;ppk11;nAChRalpha6;FKBP59;CG4995;ppk10;Vha16-5;CG7309;CG6230;Ca-beta;Vha100-5;ZnT33D;Pkd2;CG5421;Vha68-2;Vha68-3;Vha68-1;nAChRalpha5;ppk;CG33310;CG15270;CG4587;Ca-alpha1D;CG42817;CG5888;Trpgamma;ppk17;Sytalpha;Irk3;ppk13;Nhe2;Zip42C.1;ppk25;CG2121;RyR;trpl;CG1688;sut4;KCNQ;Tret1-2;Vha36-2;Vmat;stj;Prosap;Ih;Trpm;CG8249;CngA;DAT;Nach;Picot;Vha16-4;olf186-F;Elk;Rgk2;Vha100-3;Rgk1;CG16868;CG34396;Rgk3;CngB;ppk9;Synj;dve;ppk12;CG42260;blw;ppk3;CG4797;sei;ppk29;SerT;Letm1;Mid1;NKAIN;NaCP60E;Tpc2;pyx;CG9194;ZnT63C;ppk27;Teh4;tipE;VhaM9.7-a;Rh50;GluRIA;ppk26;foi;TrpA1;GluRIB;Vha16-3;Vha16-2;CG10960;CG17300;nan;Zip71B;Sytbeta;CG7255;Nedd4;Ndfip;Grd;CG14077;brv1;Shal;ZnT77C;ppk5;Wnk;CapaR;slif;CG1090;rpk;Orco;CG1208;CG1213;Vha14-2;CG14606;CG14605;wtrw;CD98hc;CG31100;Task7;CG9444;Teh1;Vha55;Task6;VhaPPA1-2;Glut3;VhaM9.7-d;Vha100-2;CG10864;CG7708;VAChT;CG11703;CG5250;CG4662;GluRIIE;GluRIID;CG3822;CG4704;Nha2;VhaAC39-2;Irk1;prt;Orct2;nAChRalpha1;nAChRalpha2;ppk22;ppk15;ppk31;CG5646;unc80;mfrn;Cnx99A;ppk21;ppk20;ppk30;ppk19;AdoR;Ctr1C;ppk24;JYalpha;Syt7;CG12773;CG3078;Vha36-3;brv3;w;ppk8;yin;VhaAC39-1;CG42594;SK;NAAT1;CG42265;Ca-alpha1T;CG42340;iav;CG4607;nAChRalpha3;CG42797;Hk;CG32669;Ork1;rtv;CG43155;ATP7;cac;Syt12;na;eag;Cngl;Stim;ppk28;ppk23;nAChRalpha7;CG12061;CG17167
regulation of protein modification process	l(2)gl;ebi;RpLP1;chinmo;cpb;dpp;daw;CG3277;Traf4;bchs;CG9098;Ddr;mmy;sens-2;Rca1;Wee1;smt3;Mnn1;Rack1;mts;Su(var)205;Pp2A-29B;Cks30A;Ror;Pten;Utx;Cdk5alpha;CG17124;CycY;esc;kek1;Tor;CG31832;CycE;heix;fzy;chif;CG12620;CG6380;Nedd8;drl;scw;Ret;step;CG41520;Src42A;tor;CanB2;babo;dap;CG9062;Drl-2;Nrk;drk;pcs;Alk;cnk;Pcl;slim;hppy;par-1;hpo;CkIIbeta2;cpa;PTP-ER;Rtf1;CycB;CG9899;Pde8;Ssrp;fzr2;yki;Ssl;uri;Pdk1;Aplip1;Rac1;Ptp61F;CG12084;Cdc37;Patj;msn;CycJ;Src64B;vn;CG10289;Cbl;Gug;PGRP-LF;Hsp67Bc;Jarid2;I-2;E(z);CycA;stv;upSET;endos;btl;gnu;CycT;bora;MYPT-75D;Mkp3;ash1;wnd;sNPF-R;trbl;park;CG17514;ctrip;cno;PEK;Atg17;CG2104;Pak;Ada2b;Atg13;Mkk4;Cks85A;M1BP;pyd;Ras85D;hyd;tws;CG6345;Fdh;Tctp;I-t;Blm;CG9286;rdx;Abi;Hexim;CG6966;CG9593;sra;Pak3;GckIII;htl;koko;fray;gwl;bnl;Pi3K92E;SNF4Agamma;PSR;mats;Takl2;hh;mbc;Pli;CycB3;ssh;Cad96Ca;XNP;wdb;spg;dco;CycG;krz;Crk;Eph;mav;Actbeta;G9a;svr;trr;per;N;Parg;Rala;rb;Cdk7;CanB;MAPk-Ak2;mof;raptor;PpV;sws;slpr;Dsor1;CG1791;PPP4R2r;sev;CkIIbeta;hep;lic;Rab3-GEF;CG8509;CycD;mbt;Rok;CG32568;par-6;mnb;Pvf1;rictor;Vav;CoRest;Tao;MKP-4;et;Mer;Cdc42;I-3;CG41106
regulation of cell cycle	l(2)gl;Mad;tim;Bub1;CG14020;Lam;CG7236;Rca1;Wee1;Mnn1;wg;cdc14;Cks30A;Dref;Pten;Stam;cmet;cana;crol;CycY;Tor;Sos;Su(H);esg;CycE;twe;Syx5;fzy;grp;CG31802;Grip71;lok;RPA2;E2f2;Mcm10;CG31612;Nipped-B;BubR1;geminin;Br140;Orc1;scra;dpn;babo;dap;dila;Prosalpha7;TER94;Prosbeta5;Mtor;pds5;Sin3A;vg;Dp;cnn;mars;tum;dup;Rif1;Lis-1;sub;plu;Rae1;CycB;mi;yki;enok;armi;CycJ;RfC4;ago;Claspin;Dhc64C;mad2;Rcc1;pbl;RecQ4;mtrm;CG43163;Cdc6;nbs;CycA;ssp;vih;sti;caup;CG10738;endos;RecQ5;gnu;Msh6;brm;CG33052;CycT;Capr;Mi-2;trbl;knrl;kni;Pitslre;chb;pzg;Cdk12;Chro;Hus1-like;PEK;asl;gpp;alphaTub84B;Cks85A;pum;CG8273;dmt;alphaTub85E;Fmr1;tws;Bruce;CG6345;Tctp;Blm;Aos1;B52;CG9286;Hexim;mor;htl;14-3-3epsilon;koko;gwl;Dl;Sep2;CG15923;Pi3K92E;slmb;SNF4Agamma;hh;Cdc16;Tsc1;CycB3;scrib;l(3)mbt;CG5003;stg;Bub3;ncd;tll;CycG;ac;sc;ase;Rbf;mus81;CDC45L;Ocrl;east;wapl;Klp3A;Zw10;N;Mnt;Cdk7;mof;raptor;APC7;Smox;otu;Moe;Dsor1;nej;Ran;Pa1;PhKgamma;Smr;mus101;Rab3-GEF;Myb;CycD;Rok;Sap30;mnb;Grip84;Pp4-19C
